timestamp_unix,elapsed_s,controller_id,kd_applied,tau_max_nm,watchdog_s,position_rev,velocity_rps,velocity_rpm,measured_torque_nm
1775350483.582034,1.363630,1,1.160000,0.600000,0.100000,-0.471221924,-0.009410119,-0.564607121,0.000000000
1775350483.592934,1.374530,1,1.160000,0.600000,0.100000,-0.471176147,-0.001757249,-0.105434968,-0.002594091
1775350483.603169,1.384765,1,1.160000,0.600000,0.100000,-0.471130371,0.008329931,0.499795843,0.000095391
1775350483.611361,1.392958,1,1.160000,0.600000,0.100000,-0.471206665,-0.008209280,-0.492556784,0.000000000
1775350483.617636,1.399232,1,1.160000,0.600000,0.100000,-0.471176147,0.006022136,0.361328144,0.002789396
1775350483.623971,1.405568,1,1.160000,0.600000,0.100000,-0.471054077,0.016811237,1.008674204,-0.001203232
1775350483.630452,1.412049,1,1.160000,0.600000,0.100000,-0.471160889,-0.001180812,-0.070848714,0.001102564
1775350483.636799,1.418396,1,1.160000,0.600000,0.100000,-0.471099854,0.005634432,0.338065932,0.001294782
1775350483.643213,1.424810,1,1.160000,0.600000,0.100000,-0.471176147,-0.018128136,-1.087688170,0.000098375
1775350483.650131,1.431727,1,1.160000,0.600000,0.100000,-0.471176147,0.003367439,0.202046349,-0.001296757
1775350483.656553,1.438149,1,1.160000,0.600000,0.100000,-0.471191406,-0.007990962,-0.479457714,-0.000000000
1775350483.671359,1.452956,1,1.160000,0.600000,0.100000,-0.471282959,-0.000035075,-0.002104496,0.001299835
1775350483.683950,1.465546,1,1.160000,0.600000,0.100000,-0.471481323,-0.026407437,-1.584446244,0.003916141
1775350483.692204,1.473800,1,1.160000,0.600000,0.100000,-0.471282959,0.002676724,0.160603425,-0.001299871
1775350483.699067,1.480664,1,1.160000,0.600000,0.100000,-0.471374512,0.000632149,0.037928947,-0.001302203
1775350483.713275,1.494872,1,1.160000,0.600000,0.100000,-0.471389771,-0.000054476,-0.003268557,-0.001414203
1775350483.721847,1.503444,1,1.160000,0.600000,0.100000,-0.471481323,-0.000815584,-0.048935035,0.002493041
1775350483.730604,1.512201,1,1.160000,0.600000,0.100000,-0.471450806,0.002560414,0.153624834,-0.001188833
1775350483.739004,1.520600,1,1.160000,0.600000,0.100000,-0.471374512,0.008595172,0.515710339,-0.001302239
1775350483.747292,1.528888,1,1.160000,0.600000,0.100000,-0.471435547,-0.004354823,-0.261289375,0.000228630
1775350483.753807,1.535403,1,1.160000,0.600000,0.100000,-0.471282959,0.015482851,0.928971078,-0.001404440
1775350483.760218,1.541815,1,1.160000,0.600000,0.100000,-0.471328735,0.001245308,0.074718499,0.000215228
1775350483.766736,1.548333,1,1.160000,0.600000,0.100000,-0.471328735,-0.003007078,-0.180424685,-0.001515988
1775350483.773054,1.554651,1,1.160000,0.600000,0.100000,-0.471298218,-0.007081945,-0.424916726,0.002494543
1775350483.779387,1.560983,1,1.160000,0.600000,0.100000,-0.471221924,0.012325186,0.739511177,-0.003692503
1775350483.785728,1.567325,1,1.160000,0.600000,0.100000,-0.471221924,-0.003640648,-0.218438893,0.000202475
1775350483.791990,1.573586,1,1.160000,0.600000,0.100000,-0.471282959,-0.001105334,-0.066320042,0.000104502
1775350483.810191,1.591787,1,1.160000,0.600000,0.100000,-0.471343994,0.008299291,0.497957468,0.000000000
1775350483.818913,1.600510,1,1.160000,0.600000,0.100000,-0.471389771,-0.012393354,-0.743601210,0.001079302
1775350483.827631,1.609227,1,1.160000,0.600000,0.100000,-0.471359253,0.011304932,0.678295903,0.001082837
1775350483.838413,1.620009,1,1.160000,0.600000,0.100000,-0.471359253,-0.007146237,-0.428774245,0.002603119
1775350483.851444,1.633041,1,1.160000,0.600000,0.100000,-0.471267700,-0.000273855,-0.016431310,0.001195565
1775350483.864397,1.645994,1,1.160000,0.600000,0.100000,-0.471313477,0.001701343,0.102080579,-0.002494525
1775350483.873010,1.654607,1,1.160000,0.600000,0.100000,-0.471343994,-0.007060532,-0.423631947,0.001410738
1775350483.883057,1.664653,1,1.160000,0.600000,0.100000,-0.471359253,-0.000542184,-0.032531015,-0.003796067
1775350483.889977,1.671573,1,1.160000,0.600000,0.100000,-0.471405029,0.003198041,0.191882481,0.001077623
1775350483.896729,1.678325,1,1.160000,0.600000,0.100000,-0.471343994,0.009077716,0.544662941,-0.001301543
1775350483.903111,1.684707,1,1.160000,0.600000,0.100000,-0.471450806,-0.018072065,-1.084323898,0.002263114
1775350483.909915,1.691512,1,1.160000,0.600000,0.100000,-0.471267700,0.021704294,1.302257627,0.001195370
1775350483.916409,1.698006,1,1.160000,0.600000,0.100000,-0.471054077,0.029292883,1.757573001,0.000180907
1775350483.922800,1.704397,1,1.160000,0.600000,0.100000,-0.471191406,-0.008301167,-0.498070009,-0.000099385
1775350483.929375,1.710972,1,1.160000,0.600000,0.100000,-0.471160889,0.002114528,0.126871685,0.001296481
1775350483.935923,1.717520,1,1.160000,0.600000,0.100000,-0.471145630,-0.001169644,-0.070178630,-0.000095753
1775350483.950428,1.732024,1,1.160000,0.600000,0.100000,-0.471038818,0.017817145,1.069028713,-0.001292858
1775350483.957796,1.739392,1,1.160000,0.600000,0.100000,-0.471054077,-0.001754245,-0.105254694,0.001293170
1775350483.965749,1.747345,1,1.160000,0.600000,0.100000,-0.471130371,-0.004357913,-0.261474783,-0.000095049
1775350483.979259,1.760855,1,1.160000,0.600000,0.100000,-0.471054077,-0.003485594,-0.209135623,-0.001203300
1775350483.988741,1.770338,1,1.160000,0.600000,0.100000,-0.471084595,0.008586980,0.515218824,-0.002679777
1775350484.003766,1.785362,1,1.160000,0.600000,0.100000,-0.471176147,-0.011751632,-0.705097932,0.002495519
1775350484.013118,1.794714,1,1.160000,0.600000,0.100000,-0.471084595,0.004985519,0.299131153,-0.000092328
1775350484.023472,1.805068,1,1.160000,0.600000,0.100000,-0.471130371,-0.002380664,-0.142839812,0.002590861
1775350484.032481,1.814077,1,1.160000,0.600000,0.100000,-0.471038818,0.001980888,0.118853278,0.000000000
1775350484.039190,1.820786,1,1.160000,0.600000,0.100000,-0.471084595,-0.005278160,-0.316689592,-0.001202105
1775350484.046152,1.827749,1,1.160000,0.600000,0.100000,-0.470977783,0.011530401,0.691824071,-0.003702354
1775350484.052600,1.834197,1,1.160000,0.600000,0.100000,-0.471008301,-0.002617360,-0.157041620,0.001204413
1775350484.058908,1.840504,1,1.160000,0.600000,0.100000,-0.471145630,-0.019367764,-1.162065826,0.002304088
1775350484.065223,1.846820,1,1.160000,0.600000,0.100000,-0.470977783,0.017442727,1.046563648,-0.002496892
1775350484.071593,1.853190,1,1.160000,0.600000,0.100000,-0.470993042,0.007563679,0.453820769,0.001291570
1775350484.078746,1.860342,1,1.160000,0.600000,0.100000,-0.471069336,-0.010799736,-0.647984147,0.001112233
1775350484.085116,1.866713,1,1.160000,0.600000,0.100000,-0.470993042,0.006837263,0.410235766,0.000000000
1775350484.091606,1.873202,1,1.160000,0.600000,0.100000,-0.471069336,-0.004185482,-0.251128916,0.002586968
1775350484.103956,1.885553,1,1.160000,0.600000,0.100000,-0.471038818,0.020632017,1.237921044,-0.002674868
1775350484.112001,1.893598,1,1.160000,0.600000,0.100000,-0.471176147,-0.005525069,-0.331504131,0.001491330
1775350484.122089,1.903685,1,1.160000,0.600000,0.100000,-0.471084595,0.004722283,0.283336993,0.000000000
1775350484.129112,1.910708,1,1.160000,0.600000,0.100000,-0.471176147,-0.016425384,-0.985523053,0.000000000
1775350484.138239,1.919835,1,1.160000,0.600000,0.100000,-0.471084595,0.013667818,0.820069090,0.001386243
1775350484.150640,1.932236,1,1.160000,0.600000,0.100000,-0.471145630,-0.017284436,-1.037066169,-0.003791907
1775350484.164764,1.946361,1,1.160000,0.600000,0.100000,-0.471115112,0.001990062,0.119403703,-0.000094433
1775350484.173333,1.954930,1,1.160000,0.600000,0.100000,-0.470993042,0.022552110,1.353126615,-0.001118937
